Formula,Structure type,Stoichiometry_A,Stoichiometry_B,Electronegativity difference (Pauling scale),Electronegativity difference (Martynov-Batsanov scale),Electronegativity difference (Gordy scale),Electronegativity difference (Mulliken scale),Electronegativity difference (Allred-Rochow scale),Mean electronegativity (Pauling scale),Mean electronegativity (Martynov-Batsanov scale),Mean electronegativity (Gordy scale),Mean electronegativity (Mulliken scale),Mean electronegativity (Allred-Rochow scale),Ionic character (Martynov-Batsanov scale),Sum of valence electrons,Atomic number sum,Atomic weight sum,Atomic radius sum,Atomic radius ratio,Covalent radius sum,Covalent radius ratio,2 x covalent radius difference,Zunger radius sum ratio,2 x Zunger radius sum difference,Zunger radius sum difference,Ionic radius ratio,2 x Ionic radius difference,Crystal radius sum,Crystal radius ratio,2 x Crystal radius difference,Period number difference,Group number sum,Group number difference,Family number sum,Quantum number (l) sum,Quantum number (l) difference
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
DyGe,TlI,1,1,-0.79,-0.84,0.7308,-1.5,-0.904,3.85,1.57,5.006,3.85,1.542,0.161717397,7,98,235.11,3,1.4,2.81,1.303278689,5.62,2.352564103,4.22,2.11,1.4,1,1.58,1.981132075,1.04,2,17,-11,9,4,2
DySi,TlI,1,1,-0.68,-0.83,1.1862,-1.67,-0.826,3.935,1.565,4.7783,3.935,1.503,0.158210251,7,80,190.5855,2.85,1.590909091,2.7,1.432432432,5.4,2.584507042,4.5,2.25,1.590909091,1.3,1.45,2.625,1.3,3,17,-11,9,4,2
DySi,TlI,1,1,-0.68,-0.83,1.1862,-1.67,-0.826,3.935,1.565,4.7783,3.935,1.503,0.158210251,7,80,190.5855,2.85,1.590909091,2.7,1.432432432,5.4,2.584507042,4.5,2.25,1.590909091,1.3,1.45,2.625,1.3,3,17,-11,9,4,2
DySi,TlI,1,1,-0.68,-0.83,1.1862,-1.67,-0.826,3.935,1.565,4.7783,3.935,1.503,0.158210251,7,80,190.5855,2.85,1.590909091,2.7,1.432432432,5.4,2.584507042,4.5,2.25,1.590909091,1.3,1.45,2.625,1.3,3,17,-11,9,4,2
DySi,TlI,1,1,-0.68,-0.83,1.1862,-1.67,-0.826,3.935,1.565,4.7783,3.935,1.503,0.158210251,7,80,190.5855,2.85,1.590909091,2.7,1.432432432,5.4,2.584507042,4.5,2.25,1.590909091,1.3,1.45,2.625,1.3,3,17,-11,9,4,2
DySi,TlI,1,1,-0.68,-0.83,1.1862,-1.67,-0.826,3.935,1.565,4.7783,3.935,1.503,0.158210251,7,80,190.5855,2.85,1.590909091,2.7,1.432432432,5.4,2.584507042,4.5,2.25,1.590909091,1.3,1.45,2.625,1.3,3,17,-11,9,4,2
DySi,TlI,1,1,-0.68,-0.83,1.1862,-1.67,-0.826,3.935,1.565,4.7783,3.935,1.503,0.158210251,7,80,190.5855,2.85,1.590909091,2.7,1.432432432,5.4,2.584507042,4.5,2.25,1.590909091,1.3,1.45,2.625,1.3,3,17,-11,9,4,2
