,Component_1 (18.058%),Component_2 (7.428%),Component_3 (9.389%),Component_4 (4.083%),Component_5 (3.959%),Component_6 (2.898%),Component_7 (3.207%),Component_8 (1.371%),Component_9 (2.111%)
max_valence_d,0.061,0.069,-0.046,-0.041,-0.093,0.138,-0.077,0.009,0.015
max_valence_f,0.016,0.031,0.056,-0.012,-0.0,-0.007,0.059,0.107,0.112
max_Number_of_unfilled_s_valence_electrons,0.064,-0.028,0.047,-0.068,-0.017,-0.03,0.074,0.009,-0.136
max_Number_of_unfilled_p_valence_electrons,0.085,0.16,-0.025,0.063,0.026,-0.017,-0.019,0.14,-0.073
max_Number_of_unfilled_d_valence_electrons,0.021,0.126,-0.015,0.095,0.031,-0.064,0.045,-0.046,-0.008
max_Number_of_unfilled_f_valence_electrons,-0.037,-0.033,-0.024,0.006,0.017,-0.029,-0.028,-0.039,0.072
max_outer_shell_electrons,-0.018,-0.04,-0.037,0.015,0.113,-0.056,0.066,0.018,-0.042
max_1st_ionization_potential_(kJ/mol),0.013,-0.025,-0.016,-0.005,-0.024,0.184,0.093,-0.045,0.027
max_polarizability(A^3),-0.056,0.036,0.086,0.056,0.014,0.017,0.011,-0.043,-0.02
max_Melting_point_(K),0.113,0.05,0.016,0.056,-0.006,-0.049,0.098,0.003,0.019
max_Boiling_Point_(K),0.066,0.005,0.055,-0.006,0.024,0.059,0.052,0.038,-0.092
max_Density_(g/mL),0.074,-0.034,0.061,-0.013,-0.028,0.04,0.07,0.074,0.022
max_specific_heat_(J/g_K)_,0.04,0.013,-0.061,0.047,0.097,0.025,-0.046,0.008,0.032
max_heat_of_fusion_(kJ/mol)_,0.018,0.005,-0.063,0.012,0.119,0.066,0.061,-0.007,-0.019
max_heat_of_vaporization_(kJ/mol)_,0.097,0.01,0.028,0.006,0.03,0.036,0.088,-0.01,-0.018
max_thermal_conductivity_(W/(m_K))_,0.088,0.032,-0.059,-0.064,0.129,0.088,-0.043,0.009,-0.006
max_heat_atomization(kJ/mol),0.106,0.023,0.021,0.022,0.029,0.032,0.098,-0.019,0.002
max_Cohesive_energy,0.104,0.024,0.022,0.021,0.027,0.039,0.092,-0.012,-0.002
min_Atomic_Number,-0.028,-0.003,0.062,-0.011,-0.109,0.022,0.04,0.004,-0.051
min_Atomic_Weight,-0.028,-0.003,0.061,-0.007,-0.109,0.022,0.047,0.004,-0.054
min_Period,-0.013,0.01,0.058,-0.036,-0.1,0.031,0.015,0.009,-0.069
min_group,0.007,-0.113,-0.051,-0.072,-0.018,0.021,-0.023,0.013,0.02
min_families,-0.003,-0.126,-0.041,-0.05,-0.033,-0.015,0.028,-0.072,0.069
min_Metal,0.067,0.024,0.068,-0.045,-0.012,-0.079,-0.078,-0.004,0.032
min_Nonmetal,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
min_Metalliod,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
min_Mendeleev_Number,0.022,-0.074,-0.062,-0.075,-0.019,-0.012,-0.002,0.044,0.062
min_l_quantum_number,0.074,-0.004,0.091,0.035,-0.03,0.002,0.018,-0.157,0.1
min_Atomic_Radius,0.05,0.015,0.08,-0.048,-0.054,0.0,-0.021,-0.04,-0.025
min_Miracle_Radius_,-0.03,0.061,0.001,-0.049,-0.105,0.033,-0.019,-0.015,0.0
min_Covalent_Radius,-0.015,0.089,-0.018,-0.141,-0.053,0.048,-0.026,0.007,-0.038
min_Zunger_radii_sum,0.053,0.006,0.092,-0.0,-0.065,0.023,-0.02,-0.057,-0.008
min_ionic_radius,-0.012,0.066,0.004,-0.108,-0.07,0.057,-0.073,0.024,0.001
min_crystal_radius,-0.026,0.048,0.022,-0.045,-0.109,-0.005,-0.013,-0.039,0.013
min_Pauling_Electronegativity,0.047,-0.079,-0.061,-0.021,-0.031,-0.008,-0.004,0.05,0.0
min_MB_electonegativity,0.046,-0.083,-0.049,-0.002,-0.039,0.004,-0.015,0.056,-0.035
min_Gordy_electonegativity,-0.05,0.055,-0.011,-0.091,0.01,0.03,0.065,0.084,-0.018
