,Component_1 (24.982%),Component_2 (7.833%),Component_3 (3.916%),Component_4 (6.497%),Component_5 (2.502%),Component_6 (2.771%),Component_7 (1.387%),Component_8 (2.172%),Component_9 (1.739%),Component_10 (1.422%)
range_elec_aff_subs_atom_rad,0.003,-0.027,0.025,-0.017,-0.007,-0.003,-0.001,-0.024,0.027,0.001
range_elec_aff_subs_bp,-0.0,0.033,-0.009,-0.005,0.011,-0.043,0.013,0.009,-0.038,-0.001
range_elec_aff_subs_first_ion_en,-0.015,0.008,-0.014,-0.008,0.004,-0.013,-0.005,-0.02,-0.024,0.026
range_elec_aff_subs_hfus,0.009,-0.012,0.03,0.0,0.022,0.005,0.011,-0.005,0.049,0.05
range_elec_aff_subs_mol_vol,-0.003,-0.028,0.052,0.0,-0.016,0.015,0.005,0.037,-0.011,0.018
range_elec_aff_subs_mp,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_elec_aff_subs_polzbl,-0.015,0.002,0.015,-0.031,-0.024,0.007,0.007,-0.008,-0.004,-0.008
range_elec_aff_subs_therm_cond,0.012,-0.01,-0.011,-0.028,-0.01,0.0,-0.014,0.023,0.006,0.013
range_elec_aff_subs_voro_coord,-0.018,-0.029,-0.006,0.004,-0.018,-0.032,0.011,0.001,-0.006,-0.002
range_first_ion_en,-0.016,0.006,-0.002,-0.023,0.02,-0.003,0.007,-0.013,-0.012,0.035
range_first_ion_en_add_X,-0.015,0.01,-0.001,-0.026,0.011,-0.006,0.009,-0.006,-0.003,0.047
range_first_ion_en_add_atom_mass,-0.002,-0.023,0.02,-0.028,0.02,0.002,-0.001,0.0,-0.034,0.027
range_first_ion_en_add_atom_rad,-0.015,0.007,-0.002,-0.013,0.022,-0.008,0.001,-0.007,-0.016,0.04
range_first_ion_en_add_bp,-0.0,0.033,-0.009,-0.005,0.011,-0.043,0.013,0.009,-0.038,-0.001
range_first_ion_en_add_elec_aff,-0.012,-0.003,0.006,-0.022,0.022,-0.003,0.008,-0.016,-0.0,0.036
range_first_ion_en_add_mol_vol,-0.009,-0.045,0.062,0.034,-0.033,-0.006,-0.018,0.037,-0.011,0.04
range_first_ion_en_add_mp,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_first_ion_en_add_therm_cond,0.012,-0.009,-0.011,-0.029,-0.01,-0.0,-0.012,0.022,0.004,0.012
range_first_ion_en_add_voro_coord,-0.004,-0.011,-0.013,-0.014,0.03,-0.017,-0.002,0.037,-0.005,0.016
range_first_ion_en_divi_atom_mass,0.005,-0.029,-0.02,-0.027,-0.004,-0.001,-0.002,-0.012,-0.029,0.008
range_first_ion_en_divi_atom_rad,-0.016,-0.019,0.002,-0.034,-0.012,-0.01,-0.007,-0.019,-0.019,0.007
range_first_ion_en_divi_bp,-0.023,0.004,0.007,0.015,-0.012,-0.039,0.01,-0.019,-0.013,-0.001
range_first_ion_en_divi_hfus,-0.012,-0.001,-0.015,-0.004,0.026,0.019,-0.045,-0.009,-0.0,-0.015
range_first_ion_en_divi_mol_vol,0.015,-0.01,0.029,-0.001,-0.007,0.019,0.012,0.019,-0.031,-0.018
range_first_ion_en_divi_mp,-0.017,0.014,-0.005,0.014,0.017,0.012,0.008,0.047,-0.004,-0.01
range_first_ion_en_divi_polzbl,-0.017,-0.008,0.004,-0.033,-0.007,0.004,0.016,-0.018,-0.015,-0.012
range_first_ion_en_divi_therm_cond,-0.014,-0.02,0.021,-0.019,-0.011,-0.008,-0.053,-0.006,-0.01,-0.006
range_first_ion_en_divi_voro_coord,-0.014,-0.01,-0.019,-0.028,0.019,-0.042,-0.045,0.0,0.024,-0.01
range_first_ion_en_mult_X,-0.01,0.023,-0.001,-0.03,0.003,-0.009,0.009,-0.006,0.014,0.043
range_first_ion_en_mult_atom_mass,0.002,-0.022,0.032,-0.01,0.033,-0.012,-0.021,-0.018,-0.029,0.038
range_first_ion_en_mult_atom_rad,-0.018,-0.019,0.002,0.023,0.003,-0.021,-0.019,0.02,0.007,0.06
range_first_ion_en_mult_bp,0.013,0.023,0.004,-0.019,0.028,-0.024,-0.002,0.009,-0.042,0.01
range_first_ion_en_mult_elec_aff,0.005,-0.018,0.022,-0.01,0.02,-0.001,0.005,-0.018,0.038,0.035
range_first_ion_en_mult_mol_vol,-0.013,-0.034,0.055,0.057,-0.039,-0.027,-0.012,0.015,-0.005,0.018
range_first_ion_en_mult_mp,0.004,0.008,0.02,0.0,0.031,-0.005,-0.011,0.041,-0.02,0.004
range_first_ion_en_mult_therm_cond,0.013,-0.01,-0.011,-0.033,-0.005,0.004,0.003,0.027,0.005,0.009
range_first_ion_en_mult_voro_coord,0.006,-0.013,0.005,-0.005,0.026,-0.016,0.0,0.026,-0.012,-0.012
range_first_ion_en_subs_X,-0.017,0.005,-0.008,-0.015,0.032,0.005,-0.001,-0.008,-0.017,0.028
range_first_ion_en_subs_atom_mass,-0.002,-0.02,0.017,-0.031,0.02,0.005,0.003,-0.0,-0.033,0.023
range_first_ion_en_subs_atom_rad,-0.017,0.002,0.001,-0.029,0.013,-0.001,0.006,-0.018,-0.01,0.025
range_first_ion_en_subs_bp,-0.0,0.033,-0.009,-0.005,0.011,-0.043,0.013,0.009,-0.038,-0.001
range_first_ion_en_subs_elec_aff,-0.015,0.008,-0.014,-0.008,0.004,-0.013,-0.005,-0.02,-0.024,0.026
range_first_ion_en_subs_hfus,-0.015,0.009,-0.001,-0.02,0.021,-0.003,0.007,-0.013,-0.012,0.035
range_first_ion_en_subs_mol_vol,0.001,-0.014,0.04,-0.014,-0.011,0.025,0.018,0.032,-0.007,0.007
range_first_ion_en_subs_mp,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_first_ion_en_subs_polzbl,-0.016,0.004,0.014,-0.032,-0.02,0.009,0.009,-0.009,-0.004,-0.009
range_first_ion_en_subs_therm_cond,0.012,-0.011,-0.01,-0.026,-0.01,-0.0,-0.015,0.022,0.007,0.013
range_first_ion_en_subs_voro_coord,-0.024,-0.031,0.007,0.011,-0.034,-0.035,0.01,-0.018,-0.009,0.007
range_hfus,-0.0,-0.034,-0.019,-0.022,-0.001,0.002,0.003,-0.0,0.007,0.001
range_hfus_add_X,-0.007,0.016,-0.008,-0.029,-0.022,-0.02,-0.003,0.005,0.016,0.051
range_hfus_add_atom_mass,-0.002,-0.021,0.019,-0.029,0.02,0.003,0.001,-0.0,-0.034,0.025
range_hfus_add_atom_rad,-0.02,-0.015,0.023,0.001,-0.03,-0.017,-0.033,0.017,-0.04,0.021
range_hfus_add_bp,-0.0,0.033,-0.009,-0.005,0.011,-0.043,0.013,0.009,-0.038,-0.001
range_hfus_add_elec_aff,0.005,-0.03,0.016,-0.009,0.007,0.0,0.004,-0.004,0.045,0.037
range_hfus_add_first_ion_en,-0.016,0.001,-0.003,-0.024,0.018,-0.004,0.006,-0.013,-0.012,0.032
range_hfus_add_mol_vol,-0.003,-0.034,0.056,0.012,-0.022,0.013,-0.003,0.037,-0.012,0.021
range_hfus_add_mp,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_hfus_add_polzbl,-0.016,0.004,0.014,-0.031,-0.024,0.007,0.007,-0.005,-0.007,-0.007
range_hfus_add_therm_cond,0.012,-0.01,-0.011,-0.028,-0.01,-0.0,-0.014,0.022,0.005,0.012
range_hfus_add_voro_coord,-0.013,-0.012,-0.021,-0.008,0.004,-0.025,0.012,0.013,-0.003,0.007
range_hfus_divi_atom_mass,0.006,-0.033,-0.022,-0.019,-0.008,-0.001,0.007,-0.006,-0.009,-0.001
range_hfus_divi_atom_rad,0.002,-0.034,-0.02,-0.024,-0.003,0.002,0.008,-0.002,0.006,0.001
range_hfus_divi_bp,-0.014,-0.041,-0.016,-0.01,-0.002,-0.005,0.023,-0.008,0.01,0.0
range_hfus_divi_first_ion_en,0.002,-0.03,-0.026,-0.022,0.003,0.009,0.008,0.009,0.009,0.005
range_hfus_divi_mol_vol,0.007,-0.028,0.006,-0.026,-0.01,-0.004,-0.002,0.017,-0.007,-0.006
range_hfus_divi_mp,-0.017,-0.043,-0.011,-0.005,-0.02,-0.017,0.024,-0.001,0.002,0.001
range_hfus_divi_polzbl,-0.001,-0.037,-0.016,-0.026,-0.004,0.003,0.016,-0.008,0.002,-0.007
range_hfus_divi_therm_cond,-0.011,-0.013,0.024,0.011,-0.01,-0.001,-0.019,0.008,-0.002,-0.008
range_hfus_divi_voro_coord,-0.008,-0.047,-0.005,-0.002,-0.027,-0.031,-0.014,-0.024,-0.015,-0.024
range_hfus_mult_X,0.001,-0.029,-0.015,-0.026,-0.005,-0.005,0.007,-0.001,0.017,0.008
range_hfus_mult_atom_mass,0.006,-0.002,0.03,0.012,0.008,-0.04,-0.036,-0.019,-0.015,0.017
range_hfus_mult_atom_rad,-0.003,-0.03,-0.021,-0.018,0.007,0.006,-0.001,0.006,0.008,0.002
range_hfus_mult_bp,0.009,-0.03,-0.008,-0.017,-0.01,-0.015,-0.01,0.006,-0.002,-0.001
range_hfus_mult_elec_aff,0.005,-0.037,-0.003,-0.016,-0.006,-0.006,0.003,-0.008,0.017,0.004
range_hfus_mult_first_ion_en,-0.001,-0.034,-0.017,-0.023,-0.001,-0.001,0.006,-0.005,0.007,-0.002
range_hfus_mult_mol_vol,-0.005,-0.038,-0.022,-0.006,0.008,0.017,0.029,-0.0,0.003,-0.003
range_hfus_mult_mp,0.01,-0.026,-0.007,-0.014,-0.012,-0.021,-0.013,0.014,-0.001,-0.004
range_hfus_mult_polzbl,0.005,0.016,-0.008,0.002,-0.004,0.023,0.039,0.04,0.012,-0.015
range_hfus_mult_therm_cond,0.012,-0.025,-0.02,-0.022,-0.012,-0.004,0.007,0.012,0.007,-0.0
range_hfus_mult_voro_coord,0.013,-0.002,0.008,-0.012,0.007,-0.037,-0.039,0.035,0.01,0.005
range_hfus_subs_X,-0.0,0.035,-0.01,-0.014,-0.028,-0.022,-0.004,0.004,0.009,0.04
range_hfus_subs_atom_mass,-0.002,-0.022,0.019,-0.03,0.02,0.003,0.001,-0.0,-0.033,0.025
range_hfus_subs_atom_rad,-0.01,-0.034,0.001,-0.03,-0.03,-0.011,-0.015,-0.012,-0.014,-0.002
range_hfus_subs_bp,-0.0,0.033,-0.009,-0.005,0.011,-0.043,0.013,0.009,-0.038,-0.001
range_hfus_subs_elec_aff,0.009,-0.012,0.03,0.0,0.022,0.005,0.011,-0.005,0.049,0.05
range_hfus_subs_first_ion_en,-0.015,0.009,-0.001,-0.02,0.021,-0.003,0.007,-0.013,-0.012,0.035
range_hfus_subs_mol_vol,-0.004,-0.032,0.054,0.006,-0.019,0.015,-0.0,0.038,-0.011,0.023
range_hfus_subs_mp,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_hfus_subs_polzbl,-0.016,0.002,0.014,-0.031,-0.024,0.008,0.008,-0.006,-0.006,-0.007
range_hfus_subs_therm_cond,0.012,-0.01,-0.01,-0.028,-0.01,0.0,-0.014,0.022,0.005,0.013
range_hfus_subs_voro_coord,-0.014,-0.018,-0.018,-0.006,-0.003,-0.025,0.013,0.007,-0.006,0.003
range_is_actinoid,-0.006,-0.026,0.048,0.009,-0.005,0.004,0.042,0.031,0.029,-0.012
range_is_alkali,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
range_is_alkaline,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
range_is_halogen,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
range_is_lanthanoid,-0.01,0.024,-0.015,-0.041,-0.005,0.004,-0.013,-0.016,-0.015,-0.003
range_is_metalloid,-0.019,-0.04,-0.005,0.01,-0.011,-0.023,0.043,-0.015,0.011,0.004
range_is_noble_gas,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
range_is_transition_metal,0.017,-0.016,0.028,0.027,-0.022,-0.011,0.002,0.006,-0.038,-0.071
range_jv_enp,-0.007,0.001,-0.009,-0.02,0.032,-0.032,-0.059,0.014,-0.005,-0.055
range_max_oxid_s,0.007,0.008,0.001,0.01,-0.014,-0.042,-0.008,0.014,0.034,0.025
range_me1,0.017,0.009,-0.042,-0.033,0.043,0.054,0.055,0.021,-0.01,-0.058
range_me2,0.007,-0.005,-0.024,-0.014,0.028,0.041,0.025,0.019,-0.02,-0.069
range_me3,0.022,0.026,-0.053,-0.042,0.056,0.075,0.087,0.037,0.004,-0.026
range_min_oxid_s,-0.016,-0.008,-0.012,-0.038,0.023,0.027,0.073,0.009,0.031,0.028
range_mol_vol,-0.003,-0.033,0.055,0.009,-0.02,0.014,-0.002,0.037,-0.012,0.022
range_mol_vol_add_X,-0.004,-0.038,0.057,0.015,-0.02,0.013,-0.004,0.038,-0.015,0.024
range_mol_vol_add_atom_mass,-0.005,-0.024,0.022,-0.027,0.015,0.004,-0.002,0.002,-0.033,0.029
range_mol_vol_add_atom_rad,-0.005,-0.033,0.054,0.006,-0.021,0.013,-0.003,0.037,-0.013,0.024
range_mol_vol_add_bp,-0.0,0.033,-0.009,-0.004,0.01,-0.043,0.013,0.009,-0.038,-0.001
range_mol_vol_add_mp,-0.005,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mol_vol_add_therm_cond,0.014,-0.009,-0.019,-0.028,-0.009,-0.002,-0.012,0.021,0.007,0.014
range_mol_vol_add_voro_coord,-0.018,-0.012,0.03,-0.003,-0.045,0.005,0.0,0.002,-0.032,0.039
range_mol_vol_divi_atom_mass,0.014,-0.02,-0.027,-0.019,0.004,0.0,0.018,0.007,-0.006,0.003
range_mol_vol_divi_atom_rad,0.011,-0.019,0.032,0.039,-0.02,-0.005,0.011,0.025,-0.013,0.001
range_mol_vol_divi_bp,-0.004,0.011,0.009,0.011,-0.006,-0.015,0.025,0.012,-0.019,0.001
range_mol_vol_divi_first_ion_en,-0.006,-0.003,0.027,-0.023,-0.019,0.013,-0.0,0.009,-0.018,0.008
range_mol_vol_divi_hfus,-0.014,0.003,0.003,-0.017,0.014,0.013,-0.04,-0.027,-0.018,-0.013
range_mol_vol_divi_mp,-0.01,0.009,0.008,0.013,0.03,0.026,0.002,0.053,-0.013,-0.017
range_mol_vol_divi_polzbl,-0.023,-0.022,-0.007,0.005,-0.008,-0.022,0.054,-0.008,-0.004,-0.007
range_mol_vol_divi_therm_cond,-0.015,-0.006,0.016,-0.029,-0.012,-0.002,-0.041,-0.012,-0.019,-0.01
range_mol_vol_divi_voro_coord,-0.006,0.0,-0.019,-0.031,0.032,-0.032,-0.047,0.008,0.029,-0.017
range_mol_vol_mult_X,-0.006,0.008,0.0,0.026,-0.013,-0.013,0.045,0.018,0.024,0.048
range_mol_vol_mult_atom_mass,-0.013,-0.023,0.037,-0.019,-0.01,0.011,0.003,0.023,0.002,0.043
range_mol_vol_mult_atom_rad,-0.012,-0.021,0.044,-0.013,-0.024,0.011,-0.006,0.023,-0.009,0.02
range_mol_vol_mult_bp,-0.009,-0.013,0.031,-0.011,-0.025,0.007,-0.003,0.013,-0.001,-0.001
range_mol_vol_mult_mp,-0.014,-0.004,0.024,0.013,-0.046,-0.017,-0.04,0.01,-0.019,-0.043
range_mol_vol_mult_therm_cond,0.008,-0.018,-0.031,-0.026,-0.004,-0.003,-0.012,0.001,0.01,0.007
range_mol_vol_mult_voro_coord,-0.018,0.0,0.017,-0.015,-0.045,-0.005,-0.013,-0.016,-0.021,0.018
range_mol_vol_subs_X,-0.003,-0.027,0.052,0.004,-0.022,0.014,0.001,0.037,-0.008,0.021
range_mol_vol_subs_atom_mass,0.001,-0.019,0.015,-0.032,0.025,0.002,0.004,-0.003,-0.033,0.02
range_mol_vol_subs_atom_rad,-0.002,-0.034,0.055,0.011,-0.02,0.015,-0.0,0.038,-0.011,0.02
range_mol_vol_subs_bp,0.0,0.033,-0.009,-0.005,0.011,-0.043,0.014,0.01,-0.038,-0.0
range_mol_vol_subs_elec_aff,-0.003,-0.028,0.052,0.0,-0.016,0.015,0.005,0.037,-0.011,0.018
range_mol_vol_subs_first_ion_en,0.001,-0.014,0.04,-0.014,-0.011,0.025,0.018,0.032,-0.007,0.007
range_mol_vol_subs_hfus,-0.004,-0.032,0.054,0.006,-0.019,0.015,-0.0,0.038,-0.011,0.023
range_mol_vol_subs_mp,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mol_vol_subs_polzbl,-0.023,-0.01,0.008,-0.01,-0.009,0.002,0.062,0.0,0.002,-0.009
range_mol_vol_subs_therm_cond,0.01,-0.012,-0.003,-0.027,-0.011,0.002,-0.014,0.023,0.003,0.011
range_mol_vol_subs_voro_coord,0.01,-0.011,0.024,0.014,0.007,-0.008,-0.001,0.024,0.005,-0.019
range_mop_eg,0.008,-0.028,-0.027,-0.02,0.001,0.004,0.016,0.001,-0.006,-0.007
range_mp,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_add_X,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_add_atom_mass,-0.005,0.013,0.013,0.02,0.003,-0.031,-0.007,0.043,-0.027,-0.019
range_mp_add_atom_rad,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_add_therm_cond,-0.002,0.019,0.006,0.011,0.012,-0.02,0.006,0.058,-0.012,0.001
range_mp_add_voro_coord,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_divi_atom_mass,0.012,-0.017,-0.028,-0.029,0.011,0.015,0.014,0.009,-0.024,0.011
range_mp_divi_atom_rad,0.005,0.004,0.01,-0.005,0.017,-0.007,-0.001,0.057,-0.017,0.001
range_mp_divi_bp,-0.017,0.004,0.005,0.013,0.014,0.013,-0.021,0.027,-0.013,-0.002
range_mp_divi_first_ion_en,-0.012,0.019,-0.004,0.01,-0.014,-0.026,0.018,0.035,-0.031,-0.044
range_mp_divi_hfus,-0.022,-0.024,0.001,-0.011,-0.032,-0.017,-0.009,-0.017,0.001,-0.008
range_mp_divi_mol_vol,0.022,0.003,0.018,0.007,0.008,0.012,0.027,0.048,-0.017,-0.02
range_mp_divi_polzbl,0.004,-0.012,0.019,-0.03,0.027,0.024,0.017,0.014,-0.021,-0.013
range_mp_divi_therm_cond,-0.013,0.006,-0.002,-0.03,-0.023,-0.015,-0.043,-0.012,-0.014,-0.028
range_mp_divi_voro_coord,-0.006,-0.003,-0.025,-0.037,0.029,-0.033,-0.064,-0.002,0.017,-0.027
range_mp_mult_X,0.012,0.016,0.018,-0.008,0.018,-0.013,-0.015,0.032,-0.009,0.02
range_mp_mult_atom_mass,0.003,-0.001,0.016,-0.018,0.021,-0.025,-0.014,-0.006,-0.035,-0.01
range_mp_mult_atom_rad,-0.015,-0.001,0.008,0.019,-0.019,-0.035,-0.005,0.026,-0.044,-0.066
range_mp_mult_therm_cond,0.022,0.005,-0.01,-0.029,0.005,0.002,0.014,0.046,0.013,0.016
range_mp_mult_voro_coord,0.002,-0.001,0.006,0.013,-0.016,-0.043,0.012,0.031,-0.019,-0.018
range_mp_subs_X,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_subs_atom_mass,-0.004,0.016,0.008,0.015,0.006,-0.021,0.002,0.055,-0.017,-0.01
range_mp_subs_atom_rad,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_subs_bp,-0.014,0.01,0.006,-0.001,0.014,-0.003,0.004,-0.001,-0.019,0.011
range_mp_subs_elec_aff,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_subs_first_ion_en,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_subs_hfus,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_subs_mol_vol,-0.004,0.015,0.01,0.018,0.005,-0.026,-0.001,0.051,-0.018,-0.01
range_mp_subs_polzbl,-0.004,0.015,0.01,0.017,0.006,-0.025,-0.001,0.051,-0.018,-0.009
range_mp_subs_therm_cond,-0.007,0.009,0.015,0.025,-0.005,-0.035,-0.014,0.039,-0.033,-0.031
range_mp_subs_voro_coord,-0.004,0.015,0.01,0.017,0.006,-0.026,-0.001,0.051,-0.018,-0.01
range_ndunfill,0.005,0.007,-0.01,-0.027,0.015,0.005,0.003,0.019,0.016,-0.037
range_ndvalence,-0.0,0.03,-0.009,-0.005,-0.033,-0.011,0.003,-0.009,-0.016,-0.036
range_nfunfill,-0.011,0.012,-0.012,-0.041,0.021,0.02,-0.005,-0.019,-0.017,-0.009
range_nfvalence,0.002,0.012,0.009,-0.02,0.008,-0.022,-0.019,-0.025,-0.02,0.004
range_npunfill,-0.012,-0.008,-0.038,-0.012,0.025,0.021,0.056,0.044,0.006,-0.005
range_npvalence,-0.02,-0.015,-0.018,0.007,0.003,-0.015,0.063,0.004,0.008,-0.004
range_nsunfill,0.022,0.021,0.014,-0.006,0.017,-0.024,-0.033,-0.012,0.012,0.025
range_nsvalence,0.016,0.02,0.004,-0.01,0.038,0.013,0.012,0.019,0.009,0.038
range_op_eg,0.008,-0.028,-0.027,-0.02,0.001,0.004,0.016,0.001,-0.006,-0.007
range_oq_bg,0.004,-0.039,-0.018,-0.016,-0.008,-0.001,0.015,-0.003,-0.004,-0.002
range_oq_enp,0.013,0.011,-0.006,0.012,0.006,-0.01,0.027,0.059,0.017,0.001
range_polzbl,-0.016,0.003,0.014,-0.031,-0.024,0.007,0.007,-0.006,-0.006,-0.007
range_polzbl_add_X,-0.016,0.001,0.015,-0.031,-0.024,0.007,0.006,-0.006,-0.009,-0.008
range_polzbl_add_atom_mass,-0.006,-0.022,0.018,-0.03,0.01,0.002,-0.001,-0.003,-0.037,0.015
range_polzbl_add_atom_rad,-0.016,0.002,0.014,-0.031,-0.025,0.007,0.006,-0.006,-0.007,-0.007
range_polzbl_add_bp,-0.001,0.033,-0.009,-0.005,0.011,-0.042,0.014,0.01,-0.038,-0.0
range_polzbl_add_elec_aff,-0.016,0.004,0.013,-0.031,-0.024,0.006,0.006,-0.005,-0.009,-0.007
range_polzbl_add_first_ion_en,-0.016,0.001,0.015,-0.029,-0.027,0.005,0.005,0.001,-0.011,-0.002
range_polzbl_add_mol_vol,-0.013,-0.002,0.026,-0.027,-0.022,0.014,0.007,0.011,-0.009,0.009
range_polzbl_add_mp,-0.005,0.015,0.01,0.018,0.004,-0.027,-0.001,0.05,-0.02,-0.012
range_polzbl_add_therm_cond,0.015,-0.005,-0.02,-0.026,-0.002,0.001,-0.0,0.031,0.017,0.027
range_polzbl_add_voro_coord,-0.02,-0.007,0.016,-0.014,-0.042,0.002,0.025,-0.011,-0.026,-0.009
range_polzbl_divi_atom_mass,0.003,0.017,0.001,0.004,-0.032,-0.027,-0.023,-0.038,-0.029,-0.029
range_polzbl_divi_atom_rad,-0.016,0.006,0.013,-0.031,-0.02,0.009,0.015,-0.003,-0.004,-0.004
range_polzbl_divi_bp,-0.007,0.018,-0.003,-0.03,-0.021,0.009,0.008,-0.002,-0.003,0.023
range_polzbl_divi_first_ion_en,-0.016,0.005,0.013,-0.031,-0.019,0.011,0.007,-0.01,-0.007,-0.004
range_polzbl_divi_hfus,-0.017,-0.0,0.008,-0.025,-0.001,0.014,-0.016,-0.029,-0.013,-0.003
range_polzbl_divi_mol_vol,-0.017,-0.016,0.001,-0.012,-0.011,0.001,0.058,-0.002,-0.004,-0.026
range_polzbl_divi_mp,-0.017,0.001,0.01,-0.023,0.027,0.033,-0.008,-0.007,-0.028,-0.035
range_polzbl_divi_therm_cond,-0.013,0.011,-0.002,-0.038,-0.014,0.001,-0.024,-0.019,-0.019,-0.014
range_polzbl_divi_voro_coord,-0.004,0.006,-0.021,-0.041,0.035,-0.024,-0.05,0.007,0.027,-0.019
range_polzbl_mult_X,-0.015,-0.003,0.013,-0.031,-0.022,0.008,0.016,-0.001,-0.01,-0.006
range_polzbl_mult_atom_mass,-0.015,-0.006,0.025,-0.028,-0.018,0.003,0.011,0.0,-0.005,-0.006
range_polzbl_mult_atom_rad,-0.016,0.002,0.015,-0.03,-0.026,0.006,0.002,-0.007,-0.007,-0.008
range_polzbl_mult_bp,-0.018,-0.011,0.031,-0.02,-0.023,0.001,0.012,0.001,-0.005,-0.021
range_polzbl_mult_elec_aff,-0.011,-0.011,0.023,0.006,-0.015,-0.003,-0.036,-0.017,-0.01,0.004
range_polzbl_mult_first_ion_en,-0.015,-0.0,0.015,-0.03,-0.027,0.006,0.008,0.004,-0.006,-0.01
range_polzbl_mult_mol_vol,-0.014,0.004,0.018,-0.029,-0.024,0.009,0.003,0.001,-0.003,0.007
range_polzbl_mult_mp,-0.015,0.002,0.018,-0.02,-0.03,-0.004,0.021,0.015,-0.006,-0.031
range_polzbl_mult_therm_cond,0.013,0.02,-0.013,-0.018,0.017,0.008,0.042,0.068,0.074,0.084
range_polzbl_mult_voro_coord,-0.016,-0.002,0.022,-0.01,-0.045,0.01,0.025,-0.009,-0.017,0.007
range_polzbl_subs_X,-0.015,0.005,0.013,-0.031,-0.024,0.007,0.008,-0.005,-0.004,-0.006
range_polzbl_subs_atom_mass,0.003,-0.019,0.018,-0.027,0.031,0.004,0.003,0.002,-0.028,0.032
range_polzbl_subs_atom_rad,-0.016,0.004,0.014,-0.031,-0.023,0.008,0.008,-0.005,-0.005,-0.007
range_polzbl_subs_bp,0.0,0.033,-0.009,-0.004,0.01,-0.043,0.013,0.009,-0.039,-0.001
range_polzbl_subs_elec_aff,-0.015,0.002,0.015,-0.031,-0.024,0.007,0.007,-0.008,-0.004,-0.008
range_polzbl_subs_first_ion_en,-0.016,0.004,0.014,-0.032,-0.02,0.009,0.009,-0.009,-0.004,-0.009
range_polzbl_subs_hfus,-0.016,0.002,0.014,-0.031,-0.024,0.008,0.008,-0.006,-0.006,-0.007
range_polzbl_subs_mol_vol,-0.023,-0.01,0.008,-0.01,-0.009,0.002,0.062,0.0,0.002,-0.009
range_polzbl_subs_mp,-0.004,0.015,0.01,0.017,0.006,-0.025,-0.001,0.051,-0.018,-0.009
range_polzbl_subs_therm_cond,0.009,-0.009,-0.007,-0.033,-0.016,0.001,-0.013,0.018,0.0,0.005
range_polzbl_subs_voro_coord,-0.005,0.01,0.013,-0.042,0.011,0.014,-0.001,0.007,0.002,-0.018
range_row,-0.015,-0.012,0.009,-0.036,-0.009,-0.004,-0.011,-0.01,-0.034,0.005
range_therm_cond,0.012,-0.01,-0.01,-0.028,-0.01,-0.0,-0.014,0.022,0.005,0.012
range_therm_cond_add_X,0.012,-0.01,-0.01,-0.028,-0.011,-0.0,-0.014,0.022,0.005,0.012
range_therm_cond_add_voro_coord,0.013,-0.009,-0.009,-0.027,-0.004,-0.001,-0.016,0.026,0.008,0.013
range_therm_cond_divi_atom_mass,0.008,-0.031,-0.019,-0.02,-0.01,0.001,0.001,-0.001,-0.01,0.008
range_therm_cond_divi_atom_rad,0.011,-0.021,-0.01,-0.025,-0.017,-0.004,-0.012,0.016,0.0,0.005
range_therm_cond_divi_bp,0.007,-0.011,-0.02,-0.036,-0.006,0.006,-0.017,0.007,-0.001,0.012
range_therm_cond_divi_first_ion_en,0.01,-0.01,-0.01,-0.021,-0.011,-0.003,-0.03,0.018,0.008,0.019
range_therm_cond_divi_hfus,-0.006,0.001,0.002,0.021,0.002,-0.003,-0.059,-0.018,0.001,-0.01
